Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
maximizeWindow(),TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:00:51,05-08-2025 12:00:51,0.382s,PASSED
"setText(findTestObject(""Object Repository/Page_CGR Foundation/input_Email address_accountemail""), ""santhosh.nidamanuri@corpgovrisk.com"")",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:00:51,05-08-2025 12:00:54,3.202s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CGR Foundation/input_Password_accountpassword""), ""g9InqrzvBVyAQwkGaiz+Ig=="")",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:00:54,05-08-2025 12:00:56,2.230s,PASSED
"click(findTestObject(""Object Repository/Page_CGR Foundation/input_Remember me_commit""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:00:56,05-08-2025 12:01:00,3.357s,PASSED
"navigateToUrl(""https://bug-nation.cgrfoundation-staging.com/indicators/110"")",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:00,05-08-2025 12:01:09,9.599s,PASSED
"click(findTestObject(""Object Repository/Page_Indicators - CGR Foundation (6)/button_Edit""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:09,05-08-2025 12:01:15,5.648s,PASSED
"click(findTestObject(""Object Repository/Page_Indicators - CGR Foundation (6)/input_Next Report Date_due_date""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:15,05-08-2025 12:01:19,3.670s,PASSED
"setText(findTestObject(""Object Repository/Page_Indicators - CGR Foundation (6)/input_Next Report Date_due_date""), minusDays(1).format(DateTimeFormatter.ofPattern(""dd/MM/yyyy"")))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:19,05-08-2025 12:01:22,3.420s,PASSED
"click(findTestObject(""Object Repository/Page_Indicators - CGR Foundation (6)/button_Save""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:22,05-08-2025 12:01:23,0.787s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Indicators - CGR Foundation (6)/div_08 July, 2025""), minusDays(1).format(DateTimeFormatter.ofPattern(""dd MMMM, yyyy"")))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:23,05-08-2025 12:01:26,3.084s,PASSED
"navigateToUrl(""https://bug-nation.cgrfoundation-staging.com/admin/jobs"")",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:26,05-08-2025 12:01:29,2.678s,PASSED
"click(findTestObject(""Object Repository/Page_Background Jobs - CGR Foundation (6)/a_Run""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:29,05-08-2025 12:01:34,5.758s,PASSED
"navigateToUrl(""https://bug-nation.cgrfoundation-staging.com/indicators/110"")",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:34,05-08-2025 12:01:36,1.349s,PASSED
refresh(),TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:36,05-08-2025 12:01:38,1.832s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Indicators - CGR Foundation (6)/div_09 July, 2025""), now().format(DateTimeFormatter.ofPattern(""dd MMMM, yyyy"")))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:38,05-08-2025 12:01:41,3.270s,PASSED
"yesterday = minusDays(1).format(DateTimeFormatter.ofPattern(""dd MMMM, yyyy""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:41,05-08-2025 12:01:41,0.010s,PASSED
driver = getWebDriver(),TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:41,05-08-2025 12:01:41,0.017s,PASSED
xpath = //tr[td[4][text()='$yesterday']]/td[1]/a,TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:41,05-08-2025 12:01:41,0.061s,PASSED
element = driver.findElement(By.xpath(xpath)),TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:41,05-08-2025 12:01:42,1.108s,PASSED
element.click(),TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:42,05-08-2025 12:01:43,1.416s,PASSED
"click(findTestObject(""Object Repository/Page_Indicator Responses - CGR Foundation (6)/button_Edit_btn btn-default""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:43,05-08-2025 12:01:45,1.410s,PASSED
"setText(findTestObject(""Object Repository/Page_Indicator Responses - CGR Foundation (6)/textarea_Delete""), ""Delete"")",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:45,05-08-2025 12:01:48,3.476s,PASSED
"click(findTestObject(""Object Repository/Page_Indicator Responses - CGR Foundation (6)/button_Delete""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:48,05-08-2025 12:01:54,6.009s,PASSED
"click(findTestObject(""Object Repository/Page_Indicators - CGR Foundation (6)/button_Edit""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:01:54,05-08-2025 12:02:28,33.249s,PASSED
"click(findTestObject(""Object Repository/Page_Indicators - CGR Foundation (6)/input_Next Report Date_due_date""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:02:28,05-08-2025 12:02:59,31.234s,PASSED
"click(findTestObject(""Object Repository/Page_Indicators - CGR Foundation (6)/span_Dec_glyphicon glyphicon-trash""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:02:59,05-08-2025 12:03:02,2.938s,PASSED
"click(findTestObject(""Object Repository/Page_Indicators - CGR Foundation (6)/button_Save""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:03:02,05-08-2025 12:03:03,0.804s,PASSED
"click(findTestObject(""Object Repository/Page_Indicators - CGR Foundation (6)/span_Santhosh""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:03:03,05-08-2025 12:03:06,3.292s,PASSED
"click(findTestObject(""Object Repository/Page_Indicators - CGR Foundation (6)/a_Log out""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:03:06,05-08-2025 12:03:08,2.410s,PASSED
acceptAlert(),TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:03:08,05-08-2025 12:03:11,2.607s,FAILED
